Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,location
2022,66,109390,109390,264-266 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Goldilocks,Rooftop 264 Swanston Street MELBOURNE VIC 3000,60,144.96514735,-37.81181063,"-37.81181063, 144.96514735"
2022,66,109392,109392,Curtin House 248-258 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Rooftop Bar,"Unit S15, Level 7 252 Swanston Street MELBOURNE VIC 3000",200,144.965250406,-37.81199559,"-37.81199559, 144.965250406"
2022,66,109436,109436,27-29 Tattersalls Lane MELBOURNE VIC 3000,Melbourne (CBD),Section 8 Bar,27-29 Tattersalls Lane MELBOURNE VIC 3000,100,144.965389924,-37.81176167,"-37.81176167, 144.965389924"
2022,67,102199,102199,16-20 Corrs Lane MELBOURNE VIC 3000,Melbourne (CBD),Euro House,Ground 16-20 Corrs Lane MELBOURNE VIC 3000,200,144.968385413,-37.81112915,"-37.81112915, 144.968385413"
2022,67,102199,102199,16-20 Corrs Lane MELBOURNE VIC 3000,Melbourne (CBD),Berlin Bar / House of Maximon,Level 1 16-20 Corrs Lane MELBOURNE VIC 3000,300,144.968385413,-37.81112915,"-37.81112915, 144.968385413"
2022,67,105673,105673,103-105 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Bomba Tapas Bar and Rooftop,Ground & Rooftop 103 Lonsdale Street MELBOURNE VIC 3000,145,144.969254113,-37.81049305,"-37.81049305, 144.969254113"
2022,71,105318,105318,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,Melbourne (CBD),Hotel Sophia,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,116,144.954199918,-37.81367535,"-37.81367535, 144.954199918"
2022,76,589841,105749,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Strike Bowling,245-247 Little Lonsdale Street MELBOURNE VIC 3000,370,144.965703405,-37.810658,"-37.810658, 144.965703405"
2022,76,589841,105749,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Father's Office,249 Little Lonsdale Street MELBOURNE VIC 3000,338,144.965703405,-37.810658,"-37.810658, 144.965703405"
2022,77,105757,105755,Sexton's Cottage Wesley Uniting Church 139-141 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Caretakers Cottage,Ground Sexton's Cottage Wesley Uniting Church 139-141 Little Lonsdale Street MELBOURNE VIC 3000,50,144.968171836,-37.8099428,"-37.8099428, 144.968171836"
2022,77,108573,108573,270 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Whisky and Alement,Ground 270 Russell Street MELBOURNE VIC 3000,90,144.967159059,-37.81011116,"-37.81011116, 144.967159059"
2022,77,108580,108580,244-246 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),HATS AND TATTS CITY,Level 1 246 Russell Street MELBOURNE VIC 3000,197,144.967326068,-37.81047422,"-37.81047422, 144.967326068"
2022,85,105746,105746,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Party World Karaoke Bar,"Shop 301, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",430,144.963018945,-37.81073332,"-37.81073332, 144.963018945"
2022,85,105748,105748,268-270 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Her Rooftop,Level 4 270 Lonsdale Street MELBOURNE VIC 3000,120,144.964145374,-37.81148547,"-37.81148547, 144.964145374"
2022,85,109304,109304,301-303 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Dom's,Level 1- 2 & Rooftop 301 Swanston Street MELBOURNE VIC 3000,250,144.964193827,-37.81107765,"-37.81107765, 144.964193827"
2022,95,109314,109314,401-405 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Miscellania,Level 2 & Roof 401 Swanston Street MELBOURNE VIC 3000,290,144.96321702,-37.80904283,"-37.80904283, 144.96321702"
2022,105,103301,103301,442-450 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Kicks,446 Elizabeth Street MELBOURNE VIC 3000,365,144.960858782,-37.8083077,"-37.8083077, 144.960858782"
2022,113,110690,108118,507-523 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Meet Sando,507 Elizabeth Street MELBOURNE VIC 3000,20,144.957205505,-37.80765748,"-37.80765748, 144.957205505"
2022,114,109493,109493,452-468 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),ReWine,460 Queen Street MELBOURNE VIC 3000,38,144.958461338,-37.80788769,"-37.80788769, 144.958461338"
2022,115,103300,103300,452-472 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Chef David,"Shop 102, Level 1 458 Elizabeth Street MELBOURNE VIC 3000",189,144.960624517,-37.80783746,"-37.80783746, 144.960624517"
2022,115,104103,104103,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),Captain Melville,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,355,144.961612591,-37.80752292,"-37.80752292, 144.961612591"
2022,131,108844,108844,Crowne Plaza 1-5 Spencer Street DOCKLANDS VIC 3008,Docklands,Crowne Plaza Melbourne,Crowne Plaza 1-5 Spencer Street DOCKLANDS VIC 3008,84,144.955049397,-37.82268115,"-37.82268115, 144.955049397"
2022,204,101613,101613,377-391 Cardigan Street CARLTON VIC 3053,Carlton,Clyde Hotel,377-391 Cardigan Street CARLTON VIC 3053,239,144.96575408,-37.79725532,"-37.79725532, 144.96575408"
2022,207,106153,106153,331-335 Lygon Street CARLTON VIC 3053,Carlton,Wolf's Lair,Rear 331-335 Lygon Street CARLTON VIC 3053,80,144.967177898,-37.79750821,"-37.79750821, 144.967177898"
2022,216,102714,102714,350-352 Drummond Street CARLTON VIC 3053,Carlton,Taquito Bar,Front 350-352 Drummond Street CARLTON VIC 3053,100,144.969271213,-37.79771074,"-37.79771074, 144.969271213"
2022,252,106245,106245,152-154 Lygon Street CARLTON VIC 3053,Carlton,El Giza Bar and Lounge,152-154 Lygon Street CARLTON VIC 3053,123,144.966744721,-37.80359309,"-37.80359309, 144.966744721"
2022,255,101593,101593,Lincoln Hotel 91-95 Cardigan Street CARLTON VIC 3053,Carlton,Hotel Lincoln,Lincoln Hotel 91 Cardigan Street CARLTON VIC 3053,154,144.9645057,-37.80448528,"-37.80448528, 144.9645057"
2022,260,103276,103276,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,Carlton,The Last Jar,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,250,144.958938696,-37.80389369,"-37.80389369, 144.958938696"
